seccion,distrito,rango_edad,sexo,nacionalidad,procedencia,total
2,3,80 - 84,Hombre,Nacional,TOLEDO,1
2,3,70 - 74,Hombre,Nacional,CACERES,1
1,3,70 - 74,Mujer,Nacional,CACERES,1
9,4,45 - 49,Mujer,Nacional,MADRID,34
1,3,70 - 74,Hombre,Nacional,AVILA,1
2,3,85 - 89,Hombre,Nacional,MADRID,1
45,3,40 - 44,Hombre,Nacional,MADRID,121
2,3,80 - 84,Hombre,Nacional,TOLEDO,1
3,3,85 - 89,Mujer,Nacional,TOLEDO,1
36,3,45 - 49,Hombre,Nacional,BARCELONA,2
4,2,45 - 49,Hombre,Nacional,MADRID,22
1,3,90 - 94,Hombre,Nacional,CACERES,1
2,3,75 - 79,Mujer,Nacional,SEGOVIA,1
7,4,75 - 79,Hombre,Nacional,SALAMANCA,1
2,3,70 - 74,Hombre,Nacional,BADAJOZ,1
2,3,70 - 74,Mujer,Nacional,LUGO,1
32,4,65 - 69,Mujer,Nacional,BADAJOZ,1
11,1,70 - 74,Hombre,Nacional,BADAJOZ,1
1,3,75 - 79,Mujer,Nacional,CACERES,1
42,3,40 - 44,Hombre,Nacional,MADRID,166
2,3,75 - 79,Mujer,Nacional,TOLEDO,3
2,3,80 - 84,Hombre,Nacional,ALBACETE,1
2,3,70 - 74,Hombre,Nacional,TOLEDO,1
2,3,60 - 64,Mujer,Nacional,TOLEDO,1
2,3,65 - 69,Mujer,Nacional,TOLEDO,1
33,3,55 - 59,Hombre,Nacional,CACERES,1
5,3,55 - 59,Hombre,Nacional,MADRID,16
3,3,55 - 59,Hombre,Nacional,CORDOBA,1
3,3,80 - 84,Mujer,Nacional,CACERES,1
32,4,55 - 59,Mujer,Nacional,CIUDAD REAL,1
30,3,50 - 54,Mujer,Nacional,JAEN,1
3,3,60 - 64,Mujer,Nacional,SEVILLA,1
3,3,80 - 84,Hombre,Nacional,MADRID,5
3,3,60 - 64,Hombre,Nacional,MADRID,7
2,3,60 - 64,Hombre,Nacional,BADAJOZ,1
41,3,80 - 84,Mujer,Nacional,MURCIA,1
3,3,70 - 74,Mujer,Nacional,GUADALAJARA,1
2,3,70 - 74,Hombre,Nacional,BADAJOZ,1
3,3,80 - 84,Mujer,Nacional,SORIA,1
3,3,70 - 74,Mujer,Nacional,CACERES,1
2,3,70 - 74,Hombre,Nacional,CORU?A (LA),1
2,3,70 - 74,Mujer,Nacional,CACERES,1
1,4,70 - 74,Hombre,Nacional,BADAJOZ,1
2,3,60 - 64,Mujer,Nacional,TOLEDO,1
3,3,60 - 64,Mujer,Nacional,BADAJOZ,1
3,3,80 - 84,Hombre,Nacional,ZAMORA,1
3,3,70 - 74,Mujer,Nacional,CACERES,1
1,2,80 - 84,Mujer,Nacional,CIUDAD REAL,2
38,3,65 - 69,Mujer,Nacional,AVILA,1
3,3,80 - 84,Mujer,Nacional,CUENCA,1
3,3,65 - 69,Mujer,Nacional,,2
14,3,70 - 74,Mujer,Nacional,MADRID,7
7,4,70 - 74,Hombre,Nacional,CORDOBA,1
3,3,80 - 84,Hombre,Nacional,TOLEDO,1
30,3,55 - 59,Hombre,Nacional,ZAMORA,1
22,2,55 - 59,Hombre,Nacional,AVILA,1
7,2,70 - 74,Hombre,Nacional,SEGOVIA,1
3,3,60 - 64,Mujer,Nacional,,1
45,3,75 - 79,Hombre,Nacional,AVILA,1
33,3,50 - 54,Mujer,Nacional,GRANADA,1
4,1,45 - 49,Hombre,Nacional,TOLEDO,1
3,3,85 - 89,Hombre,Nacional,CACERES,1
3,3,80 - 84,Mujer,Nacional,MADRID,1
16,2,85 - 89,Hombre,Nacional,JAEN,1
4,3,75 - 79,Mujer,Nacional,BADAJOZ,1
11,4,45 - 49,Hombre,Nacional,MADRID,18
3,3,50 - 54,Mujer,Nacional,TOLEDO,1
3,3,65 - 69,Hombre,Nacional,CACERES,1
30,4,75 - 79,Mujer,Nacional,CACERES,1
3,3,75 - 79,Mujer,Nacional,TOLEDO,1
3,3,60 - 64,Mujer,Nacional,MADRID,1
3,3,55 - 59,Hombre,Nacional,BADAJOZ,1
3,3,85 - 89,Mujer,Nacional,BADAJOZ,3
2,3,80 - 84,Mujer,Nacional,BARCELONA,1
2,3,60 - 64,Mujer,Nacional,BADAJOZ,1
40,3,70 - 74,Mujer,Nacional,MADRID,4
3,3,60 - 64,Mujer,Nacional,TOLEDO,1
3,3,30 - 34,Hombre,Nacional,MADRID,21
8,3,65 - 69,Hombre,Nacional,CIUDAD REAL,1
3,3,75 - 79,Mujer,Nacional,BADAJOZ,1
5,3,50 - 54,Mujer,Nacional,TOLEDO,1
3,3,70 - 74,Mujer,Nacional,BADAJOZ,1
5,1,80 - 84,Mujer,Nacional,TOLEDO,1
1,4,65 - 69,Mujer,Nacional,AVILA,1
6,3,45 - 49,Mujer,Nacional,VIZCAYA,1
45,3,30 - 34,Mujer,Nacional,MADRID,34
7,4,70 - 74,Hombre,Nacional,TOLEDO,1
3,3,55 - 59,Hombre,Nacional,TOLEDO,1
4,3,75 - 79,Mujer,Nacional,CACERES,1
16,2,70 - 74,Mujer,Nacional,JAEN,1
3,3,65 - 69,Mujer,Nacional,TOLEDO,1
3,3,70 - 74,Hombre,Nacional,CORDOBA,1
3,3,65 - 69,Mujer,Nacional,CACERES,1
3,3,80 - 84,Mujer,Nacional,CIUDAD REAL,1
25,3,50 - 54,Hombre,Nacional,MADRID,15
7,4,75 - 79,Hombre,Nacional,RIOJA (LA),1
4,3,80 - 84,Hombre,Nacional,TOLEDO,1
4,3,60 - 64,Mujer,Nacional,MADRID,7
4,3,75 - 79,Mujer,Nacional,,1
18,2,70 - 74,Mujer,Nacional,CUENCA,1
4,3,70 - 74,Mujer,Nacional,ASTURIAS,1
20,2,55 - 59,Hombre,Nacional,MADRID,40
7,1,50 - 54,Hombre,Nacional,MADRID,19
3,3,75 - 79,Hombre,Nacional,TOLEDO,1
4,3,65 - 69,Mujer,Nacional,CIUDAD REAL,1
32,4,70 - 74,Mujer,Nacional,TOLEDO,1
6,1,75 - 79,Mujer,Nacional,MADRID,8
4,3,95 - 99,Hombre,Nacional,CORDOBA,1
1,4,80 - 84,Mujer,Nacional,MADRID,1
5,1,55 - 59,Hombre,Nacional,MADRID,30
34,3,75 - 79,Mujer,Nacional,SALAMANCA,1
4,3,60 - 64,Mujer,Nacional,TOLEDO,1
4,3,60 - 64,Hombre,Nacional,MADRID,7
18,2,55 - 59,Mujer,Nacional,SEVILLA,2
16,2,55 - 59,Hombre,Nacional,TOLEDO,2
47,3,45 - 49,Hombre,Extranjero,ALEMANIA,3
4,3,75 - 79,Hombre,Nacional,AVILA,1
3,3,75 - 79,Mujer,Nacional,TOLEDO,1
3,3,75 - 79,Hombre,Nacional,AVILA,2
4,3,80 - 84,Mujer,Nacional,AVILA,1
4,3,70 - 74,Hombre,Nacional,GUADALAJARA,1
4,3,65 - 69,Hombre,Nacional,CACERES,1
